method,split,rank,session_count,proportion
exact_generic_field_dense_rrf,full,3,11,0.055
exact_generic_field_dense_rrf,full,4,12,0.06
exact_generic_field_dense_rrf,full,5,12,0.06
exact_generic_field_dense_rrf,full,6,8,0.04
exact_generic_field_dense_rrf,full,7,1,0.005
exact_generic_field_dense_rrf,full,8,5,0.025
exact_generic_field_dense_rrf,full,9,3,0.015
exact_generic_field_dense_rrf,full,10,2,0.01
exact_generic_field_dense_rrf,full,miss,18,0.09
exact_generic_field_dense_rrf,calibration,1,32,0.533333
exact_generic_field_dense_rrf,calibration,2,6,0.1
exact_generic_field_dense_rrf,calibration,3,2,0.033333
exact_generic_field_dense_rrf,calibration,4,5,0.083333
exact_generic_field_dense_rrf,calibration,5,2,0.033333
exact_generic_field_dense_rrf,calibration,6,1,0.016667
exact_generic_field_dense_rrf,calibration,7,1,0.016667
exact_generic_field_dense_rrf,calibration,8,1,0.016667
exact_generic_field_dense_rrf,calibration,9,0,0.0
exact_generic_field_dense_rrf,calibration,10,1,0.016667
exact_generic_field_dense_rrf,calibration,miss,9,0.15
exact_generic_field_dense_rrf,evaluation,1,74,0.528571
exact_generic_field_dense_rrf,evaluation,2,16,0.114286
exact_generic_field_dense_rrf,evaluation,3,9,0.064286
exact_generic_field_dense_rrf,evaluation,4,7,0.05
exact_generic_field_dense_rrf,evaluation,5,10,0.071429
exact_generic_field_dense_rrf,evaluation,6,7,0.05
exact_generic_field_dense_rrf,evaluation,7,0,0.0
exact_generic_field_dense_rrf,evaluation,8,4,0.028571
exact_generic_field_dense_rrf,evaluation,9,3,0.021429
exact_generic_field_dense_rrf,evaluation,10,1,0.007143
exact_generic_field_dense_rrf,evaluation,miss,9,0.064286
