sample_id,scenario_type,constraint_count,exact_phrase_candidates,all_token_candidates,bm25_cutoff_candidates,dense_nn_candidates,hybrid_candidates,oracle_only
public_0028,buying,0,349,526,221,90,71,True
public_0028,buying,1,271,361,261,100,63,True
public_0028,buying,2,58,139,273,64,67,True
public_0028,buying,3,58,139,273,67,63,True
public_0028,buying,4,2,23,274,87,60,True
public_0029,buying,0,325,1732,95,327,66,True
public_0029,buying,1,20,152,102,404,66,True
public_0029,buying,2,1,51,2,5,40,True
public_0029,buying,3,1,16,2,1,27,True
public_0029,buying,4,1,4,2,2,28,True
public_0030,buying,0,68,991,45,146,52,True
public_0030,buying,1,25,376,50,173,61,True
public_0030,buying,2,1,59,67,232,45,True
public_0030,buying,3,1,17,81,265,67,True
public_0030,buying,4,1,8,74,348,69,True
public_0031,buying,0,9,22390,157,173,50,True
public_0031,buying,1,7,3845,170,257,35,True
public_0031,buying,2,0,627,182,119,30,True
public_0031,buying,3,0,302,194,63,28,True
public_0031,buying,4,0,46,242,37,25,True
public_0032,buying,0,178,798,121,96,70,True
public_0032,buying,1,88,335,132,91,58,True
public_0032,buying,2,31,245,142,65,51,True
public_0032,buying,3,7,84,147,118,51,True
public_0032,buying,4,1,31,156,93,47,True
public_0033,browsing,0,370,1847,185,132,57,True
public_0033,browsing,1,67,452,204,447,59,True
public_0033,browsing,2,17,244,167,346,33,True
public_0033,browsing,3,6,87,169,399,35,True
public_0033,browsing,4,1,11,81,200,48,True
public_0034,intent_override,0,665,4490,114,221,65,True
public_0034,intent_override,1,410,1578,143,179,64,True
public_0034,intent_override,2,200,1009,114,164,62,True
public_0034,intent_override,3,1,561,121,138,53,True
public_0034,intent_override,4,1,429,75,77,52,True
public_0035,boundary,0,370,1847,185,132,57,True
public_0035,boundary,1,67,452,204,447,59,True
public_0035,boundary,2,6,37,237,500,76,True
public_0035,boundary,3,5,19,247,826,38,True
public_0035,boundary,4,4,9,304,475,67,True
public_0036,browsing,0,503,1286,343,170,57,True
public_0036,browsing,1,21,55,284,157,57,True
public_0036,browsing,2,0,10,307,253,48,True
public_0036,browsing,3,0,9,107,27,45,True
public_0036,browsing,4,0,8,51,35,40,True
public_0037,browsing,0,10,3346,329,66,44,True
public_0037,browsing,1,2,1267,449,42,44,True
public_0037,browsing,2,1,631,491,87,48,True
public_0037,browsing,3,0,292,68,89,35,True
public_0037,browsing,4,0,249,91,6,36,True
public_0038,intent_override,0,1031,9878,262,227,46,True
public_0038,intent_override,1,155,565,302,333,49,True
public_0038,intent_override,2,4,278,381,298,31,True
public_0038,intent_override,3,1,162,449,431,24,True
public_0038,intent_override,4,1,34,648,443,28,True
public_0039,browsing,0,25,21889,9,124,27,True
public_0039,browsing,1,20,5316,25,554,37,True
public_0039,browsing,2,1,898,73,556,73,True
public_0039,browsing,3,1,188,167,957,49,True
public_0039,browsing,4,1,81,253,689,40,True
public_0040,browsing,0,127,1494,134,204,57,True
public_0040,browsing,1,61,547,144,257,63,True
public_0040,browsing,2,1,110,160,150,63,True
public_0040,browsing,3,0,80,177,130,55,True
public_0040,browsing,4,0,27,184,162,59,True
public_0041,boundary,0,519,1792,190,487,68,True
public_0041,boundary,1,233,840,199,706,72,True
public_0041,boundary,2,1,341,233,569,31,True
public_0041,boundary,3,1,0,233,590,28,True
public_0041,boundary,4,1,0,260,612,26,True
public_0042,buying,0,1034,1275,68,272,70,True
public_0042,buying,1,126,153,70,319,67,True
public_0042,buying,2,0,13,84,81,53,True
public_0042,buying,3,0,6,156,212,25,True
public_0042,buying,4,0,3,182,455,37,True
public_0043,browsing,0,9,22390,157,173,50,True
public_0043,browsing,1,7,3845,170,257,35,True
public_0043,browsing,2,0,254,121,59,32,True
public_0043,browsing,3,0,103,112,27,31,True
public_0043,browsing,4,0,18,128,22,34,True
public_0044,buying,0,12,9602,4,65,14,True
public_0044,buying,1,8,1769,4,292,18,True
public_0044,buying,2,1,581,6,575,17,True
public_0044,buying,3,1,75,6,151,19,True
public_0044,buying,4,1,19,1,3,23,True
public_0045,buying,0,519,1792,190,487,68,True
public_0045,buying,1,233,840,199,706,72,True
public_0045,buying,2,18,271,214,341,57,True
public_0045,buying,3,5,87,212,437,52,True
public_0045,buying,4,1,32,469,804,68,True
public_0046,intent_override,0,24,835,30,66,37,True
public_0046,intent_override,1,2,84,48,120,50,True
public_0046,intent_override,2,1,39,79,157,39,True
public_0046,intent_override,3,1,12,82,96,40,True
public_0046,intent_override,4,1,4,122,132,23,True
public_0047,browsing,0,33,2132,37,44,40,True
public_0047,browsing,1,15,285,43,97,30,True
public_0047,browsing,2,0,40,31,45,28,True
public_0047,browsing,3,0,35,31,36,20,True
public_0047,browsing,4,0,8,46,48,20,True
public_0048,browsing,0,28,1141,82,45,53,True
public_0048,browsing,1,13,326,88,76,54,True
public_0048,browsing,2,9,216,110,178,30,True
public_0048,browsing,3,1,12,21,39,36,True
public_0048,browsing,4,1,9,10,14,28,True
public_0049,browsing,0,665,4490,114,221,65,True
public_0049,browsing,1,410,1578,143,179,64,True
public_0049,browsing,2,0,67,138,291,61,True
