sample_id,scenario_type,constraint_count,exact_phrase_candidates,all_token_candidates,bm25_cutoff_candidates,dense_nn_candidates,hybrid_candidates,oracle_only
public_0119,buying,1,1,13,48,144,43,True
public_0119,buying,2,1,3,48,81,45,True
public_0119,buying,3,1,1,52,77,46,True
public_0119,buying,4,1,1,17,164,51,True
public_0120,browsing,0,349,526,221,90,71,True
public_0120,browsing,1,271,361,261,100,63,True
public_0120,browsing,2,9,77,271,77,65,True
public_0120,browsing,3,4,73,298,76,60,True
public_0120,browsing,4,1,20,324,104,67,True
public_0121,browsing,0,231,925,59,95,66,True
public_0121,browsing,1,112,221,58,127,58,True
public_0121,browsing,2,0,18,72,186,56,True
public_0121,browsing,3,0,8,82,209,45,True
public_0121,browsing,4,0,7,36,26,34,True
public_0122,browsing,0,129,22262,171,137,59,True
public_0122,browsing,1,5,3715,193,404,43,True
public_0122,browsing,2,0,826,223,374,29,True
public_0122,browsing,3,0,392,226,396,20,True
public_0122,browsing,4,0,252,57,226,17,True
public_0123,intent_override,0,45,778,30,33,77,True
public_0123,intent_override,1,17,78,52,16,47,True
public_0123,intent_override,2,1,32,61,32,44,True
public_0123,intent_override,3,1,12,61,31,42,True
public_0123,intent_override,4,1,3,71,60,43,True
public_0124,buying,0,385,792,26,90,63,True
public_0124,buying,1,113,215,26,59,65,True
public_0124,buying,2,1,5,46,103,46,True
public_0124,buying,3,1,3,66,70,48,True
public_0124,buying,4,1,2,87,87,43,True
public_0125,intent_override,0,385,792,26,90,63,True
public_0125,intent_override,1,12,233,28,87,57,True
public_0125,intent_override,2,7,169,13,18,48,True
public_0125,intent_override,3,3,117,63,18,52,True
public_0125,intent_override,4,3,115,54,11,53,True
public_0126,browsing,0,681,2400,285,199,48,True
public_0126,browsing,1,318,1105,299,245,51,True
public_0126,browsing,2,24,352,299,473,43,True
public_0126,browsing,3,11,136,298,346,53,True
public_0126,browsing,4,7,90,348,488,41,True
public_0127,browsing,0,113,530,77,48,59,True
public_0127,browsing,1,38,184,84,78,66,True
public_0127,browsing,2,7,60,97,87,69,True
public_0127,browsing,3,3,46,97,82,69,True
public_0127,browsing,4,3,23,99,96,65,True
public_0128,browsing,0,214,1461,211,160,62,True
public_0128,browsing,1,1,639,299,102,34,True
public_0128,browsing,2,0,173,333,133,38,True
public_0128,browsing,3,0,146,52,27,40,True
public_0128,browsing,4,0,102,23,35,44,True
public_0129,buying,0,1,21914,35,352,34,True
public_0129,buying,1,1,4859,59,258,53,True
public_0129,buying,2,0,569,131,574,40,True
public_0129,buying,3,0,198,134,1173,54,True
public_0129,buying,4,0,32,112,1246,27,True
public_0130,intent_override,0,45,343,113,128,64,True
public_0130,intent_override,1,33,197,101,154,65,True
public_0130,intent_override,2,9,137,86,105,48,True
public_0130,intent_override,3,5,67,91,150,47,True
public_0130,intent_override,4,1,27,68,142,50,True
public_0131,boundary,0,24,835,30,66,37,True
public_0131,boundary,1,12,424,41,123,45,True
public_0131,boundary,2,1,300,28,63,43,True
public_0131,boundary,3,1,93,29,59,36,True
public_0131,boundary,4,1,88,33,8,47,True
public_0132,buying,0,548,13893,161,677,46,True
public_0132,buying,1,73,578,163,384,43,True
public_0132,buying,2,1,146,178,215,34,True
public_0132,buying,3,1,56,185,224,25,True
public_0132,buying,4,1,3,174,233,24,True
public_0133,buying,0,522,1098,64,376,57,True
public_0133,buying,1,167,267,71,277,53,True
public_0133,buying,2,0,34,90,278,46,True
public_0133,buying,3,0,23,217,231,49,True
public_0133,buying,4,0,23,297,123,52,True
public_0134,browsing,0,37,3832,66,33,54,True
public_0134,browsing,1,1,94,33,37,49,True
public_0134,browsing,2,1,88,34,16,45,True
public_0134,browsing,3,1,84,21,22,46,True
public_0134,browsing,4,1,84,21,29,47,True
public_0135,buying,0,548,13893,161,677,46,True
public_0135,buying,1,37,738,163,451,46,True
public_0135,buying,2,22,501,172,286,55,True
public_0135,buying,3,15,200,174,628,61,True
public_0135,buying,4,1,16,250,563,40,True
public_0136,buying,0,294,2538,244,83,72,True
public_0136,buying,1,122,768,169,107,55,True
public_0136,buying,2,9,298,123,135,52,True
public_0136,buying,3,6,124,123,150,47,True
public_0136,buying,4,3,53,175,210,48,True
public_0137,browsing,0,0,6420,157,201,52,True
public_0137,browsing,1,0,1481,177,204,52,True
public_0137,browsing,2,0,610,139,336,46,True
public_0137,browsing,3,0,108,159,354,45,True
public_0137,browsing,4,0,69,139,476,38,True
public_0138,browsing,0,519,1792,190,487,68,True
public_0138,browsing,1,141,252,165,335,41,True
public_0138,browsing,2,42,144,180,258,47,True
public_0138,browsing,3,27,92,190,436,41,True
public_0138,browsing,4,1,33,323,359,49,True
public_0139,browsing,0,680,3567,314,510,25,True
public_0139,browsing,1,239,1206,338,373,28,True
public_0139,browsing,2,1,731,198,207,40,True
public_0139,browsing,3,1,711,419,296,48,True
public_0139,browsing,4,1,142,792,521,40,True
public_0140,browsing,0,78,136,23,28,66,True
public_0140,browsing,1,58,93,68,41,40,True
public_0140,browsing,2,4,60,70,35,40,True
public_0140,browsing,3,4,47,57,63,36,True
public_0140,browsing,4,4,39,88,48,43,True
public_0141,browsing,0,14,3840,121,238,60,True
public_0141,browsing,1,1,1308,19,26,45,True
public_0141,browsing,2,0,326,20,45,45,True
public_0141,browsing,3,0,250,14,62,49,True
public_0141,browsing,4,0,167,12,90,48,True
public_0142,intent_override,0,126,763,85,528,91,True
public_0142,intent_override,1,1,210,37,49,34,True
public_0142,intent_override,2,1,103,45,56,41,True
public_0142,intent_override,3,1,79,10,47,42,True
public_0142,intent_override,4,1,79,8,96,43,True
public_0143,buying,0,114,2567,281,492,41,True
public_0143,buying,1,21,184,353,469,53,True
public_0143,buying,2,1,34,143,129,53,True
public_0143,buying,3,1,19,133,196,60,True
public_0143,buying,4,1,4,197,329,77,True
public_0144,intent_override,0,101,473,101,76,57,True
public_0144,intent_override,1,47,249,104,199,42,True
public_0144,intent_override,2,35,183,114,112,40,True
public_0144,intent_override,3,28,100,127,130,41,True
public_0144,intent_override,4,20,61,138,94,40,True
public_0145,buying,0,276,1765,171,103,48,True
public_0145,buying,1,96,611,149,124,59,True
public_0145,buying,2,2,104,134,69,56,True
public_0145,buying,3,2,104,134,77,57,True
public_0145,buying,4,0,39,96,76,55,True
public_0146,buying,0,126,22445,137,218,36,True
public_0146,buying,1,9,934,186,99,56,True
public_0146,buying,2,0,138,83,122,24,True
public_0146,buying,3,0,62,84,267,21,True
public_0146,buying,4,0,11,126,870,62,True
public_0147,browsing,0,770,1697,196,80,57,True
public_0147,browsing,1,191,577,202,286,50,True
public_0147,browsing,2,1,192,226,121,55,True
public_0147,browsing,3,1,99,225,121,54,True
public_0147,browsing,4,1,46,128,113,46,True
public_0148,buying,0,24,168,60,132,46,True
public_0148,buying,1,15,93,76,82,52,True
public_0148,buying,2,1,60,102,95,49,True
public_0148,buying,3,1,31,112,101,50,True
public_0148,buying,4,1,9,211,125,44,True
public_0149,buying,0,176,2048,9,67,79,True
public_0149,buying,1,21,229,13,164,59,True
public_0149,buying,2,2,89,41,139,44,True
public_0149,buying,3,2,17,71,142,36,True
public_0149,buying,4,0,0,71,136,44,True
public_0150,browsing,0,14,275,45,32,45,True
public_0150,browsing,1,7,156,45,93,26,True
public_0150,browsing,2,3,48,35,45,29,True
public_0150,browsing,3,1,28,52,54,29,True
public_0150,browsing,4,1,10,65,52,31,True
public_0151,browsing,0,47,1364,102,14,42,True
public_0151,browsing,1,42,373,106,101,39,True
public_0151,browsing,2,22,177,94,151,32,True
public_0151,browsing,3,15,129,99,102,40,True
public_0151,browsing,4,1,58,488,289,60,True
public_0152,buying,0,1034,1275,68,272,70,True
public_0152,buying,1,289,365,57,76,52,True
public_0152,buying,2,2,52,82,57,61,True
public_0152,buying,3,0,32,232,266,54,True
public_0152,buying,4,0,26,295,434,40,True
public_0153,browsing,0,382,1213,184,426,64,True
public_0153,browsing,1,220,588,153,176,49,True
public_0153,browsing,2,3,355,164,197,39,True
public_0153,browsing,3,3,243,222,133,45,True
public_0153,browsing,4,1,139,229,683,72,True
public_0154,buying,0,231,925,59,95,66,True
public_0154,buying,1,35,207,73,40,54,True
public_0154,buying,2,1,17,87,91,51,True
public_0154,buying,3,0,5,101,254,36,True
public_0154,buying,4,0,3,145,133,47,True
public_0155,buying,0,66,969,65,51,56,True
public_0155,buying,1,15,306,69,94,51,True
public_0155,buying,2,5,213,72,87,47,True
public_0155,buying,3,3,90,72,122,52,True
public_0155,buying,4,1,29,80,138,49,True
public_0156,buying,0,19,693,20,16,54,True
public_0156,buying,1,1,201,30,21,48,True
public_0156,buying,2,0,39,32,24,45,True
public_0156,buying,3,0,37,12,43,44,True
public_0156,buying,4,0,1,3,49,38,True
public_0157,buying,0,232,852,125,9,56,True
public_0157,buying,1,23,92,116,91,54,True
public_0157,buying,2,23,92,116,71,52,True
public_0157,buying,3,16,34,140,86,54,True
public_0157,buying,4,1,13,54,88,73,True
public_0158,browsing,0,99,9675,20,59,63,True
public_0158,browsing,1,1,2481,129,20,50,True
public_0158,browsing,2,1,2119,33,60,34,True
public_0158,browsing,3,1,903,9,58,32,True
public_0158,browsing,4,1,804,3,54,28,True
public_0159,buying,0,68,991,45,146,52,True
public_0159,buying,1,40,406,54,147,51,True
public_0159,buying,2,5,169,75,142,51,True
public_0159,buying,3,3,84,77,135,50,True
public_0159,buying,4,1,26,90,226,50,True
public_0160,buying,0,57,573,31,32,47,True
public_0160,buying,1,19,118,30,41,46,True
public_0160,buying,2,5,42,30,57,45,True
public_0160,buying,3,1,35,31,44,38,True
public_0160,buying,4,1,35,28,13,33,True
public_0161,buying,0,680,3567,314,510,25,True
public_0161,buying,1,389,2046,399,369,29,True
public_0161,buying,2,98,1488,468,287,37,True
public_0161,buying,3,25,683,484,600,36,True
public_0161,buying,4,19,473,616,680,25,True
public_0162,browsing,0,126,22445,137,218,36,True
public_0162,browsing,1,11,245,189,261,33,True
public_0162,browsing,2,1,75,141,37,30,True
public_0162,browsing,3,0,21,146,102,29,True
public_0162,browsing,4,0,6,201,830,21,True
public_0163,buying,0,370,1847,185,132,57,True
public_0163,buying,1,67,452,204,447,59,True
public_0163,buying,2,41,170,264,536,57,True
public_0163,buying,3,1,87,79,160,49,True
public_0163,buying,4,1,76,59,224,39,True
public_0164,browsing,0,93,1256,97,88,59,True
public_0164,browsing,1,48,373,90,49,52,True
public_0164,browsing,2,0,134,115,25,64,True
public_0164,browsing,3,0,41,112,43,62,True
public_0164,browsing,4,0,15,8,19,50,True
public_0165,buying,0,93,1256,97,88,59,True
public_0165,buying,1,48,373,90,49,52,True
public_0165,buying,2,1,136,54,12,42,True
public_0165,buying,3,1,120,22,18,50,True
public_0165,buying,4,1,113,8,52,52,True
public_0166,intent_override,0,5,1344,93,42,66,True
public_0166,intent_override,1,1,792,123,105,44,True
public_0166,intent_override,2,1,146,124,116,43,True
public_0166,intent_override,3,1,110,9,82,40,True
public_0166,intent_override,4,1,108,1,81,36,True
public_0167,browsing,0,166,1265,128,129,65,True
public_0167,browsing,1,56,477,130,147,65,True
public_0167,browsing,2,18,176,186,156,57,True
public_0167,browsing,3,12,98,216,190,50,True
public_0167,browsing,4,1,72,188,166,49,True
public_0168,buying,0,51,975,93,170,38,True
public_0168,buying,1,1,149,13,9,38,True
public_0168,buying,2,1,146,11,10,32,True
public_0168,buying,3,1,141,17,11,42,True
public_0168,buying,4,1,141,14,12,41,True
public_0169,boundary,0,9,22390,157,173,50,True
public_0169,boundary,1,7,3845,170,257,35,True
public_0169,boundary,2,0,303,254,56,23,True
public_0169,boundary,3,0,171,267,33,31,True
public_0169,boundary,4,0,119,133,55,27,True
public_0170,browsing,0,110,3295,48,652,46,True
public_0170,browsing,1,58,780,144,159,30,True
public_0170,browsing,2,29,639,162,118,33,True
public_0170,browsing,3,1,407,137,119,26,True
public_0170,browsing,4,1,163,116,296,39,True
public_0171,buying,0,199,968,179,110,38,True
public_0171,buying,1,48,78,233,180,33,True
public_0171,buying,2,15,21,188,86,46,True
public_0171,buying,3,8,10,174,128,32,True
public_0171,buying,4,2,7,203,130,35,True
public_0172,browsing,0,1031,9878,262,227,46,True
public_0172,browsing,1,43,878,270,372,44,True
public_0172,browsing,2,15,615,330,439,28,True
public_0172,browsing,3,11,224,357,272,30,True
public_0172,browsing,4,2,26,362,316,25,True
public_0173,browsing,0,169,8632,183,153,63,True
public_0173,browsing,1,55,1266,174,146,62,True
public_0173,browsing,2,45,395,207,187,61,True
public_0173,browsing,3,1,126,240,84,56,True
public_0173,browsing,4,1,118,123,83,58,True
public_0174,buying,0,179,990,103,107,43,True
public_0174,buying,1,79,376,103,246,44,True
public_0174,buying,2,46,242,120,263,47,True
public_0174,buying,3,21,104,117,240,46,True
public_0174,buying,4,12,29,100,174,55,True
public_0175,browsing,0,10,10234,189,188,53,True
public_0175,browsing,1,7,2865,237,455,45,True
public_0175,browsing,2,1,2175,338,225,35,True
public_0175,browsing,3,0,1072,348,179,36,True
public_0175,browsing,4,0,236,105,353,25,True
public_0176,browsing,0,26,1309,118,92,37,True
public_0176,browsing,1,6,517,122,173,38,True
public_0176,browsing,2,1,14,138,251,52,True
public_0176,browsing,3,1,6,139,192,61,True
public_0176,browsing,4,1,6,144,204,58,True
public_0177,intent_override,0,0,3307,290,497,26,True
public_0177,intent_override,1,0,1501,329,647,31,True
public_0177,intent_override,2,0,1020,357,550,59,True
public_0177,intent_override,3,0,394,372,626,75,True
public_0177,intent_override,4,0,91,443,314,42,True
public_0178,buying,0,1357,6551,389,353,46,True
public_0178,buying,1,1071,3659,299,376,47,True
public_0178,buying,2,1,366,528,349,41,True
public_0178,buying,3,0,291,273,203,61,True
public_0178,buying,4,0,219,130,264,56,True
public_0179,buying,0,519,1792,190,487,68,True
public_0179,buying,1,223,487,186,580,59,True
public_0179,buying,2,141,487,186,499,48,True
public_0179,buying,3,5,303,188,212,45,True
public_0179,buying,4,1,192,287,273,43,True
public_0180,boundary,0,1031,9878,262,227,46,True
public_0180,boundary,1,10,1179,262,363,41,True
public_0180,boundary,2,6,500,279,499,42,True
public_0180,boundary,3,6,337,389,359,45,True
public_0180,boundary,4,1,5,140,694,59,True
public_0181,browsing,0,85,867,80,53,57,True
public_0181,browsing,1,45,363,78,64,49,True
public_0181,browsing,2,1,108,64,87,38,True
public_0181,browsing,3,1,46,74,104,30,True
public_0181,browsing,4,1,32,159,103,63,True
public_0182,browsing,0,32,434,56,30,62,True
public_0182,browsing,1,1,188,49,28,53,True
public_0182,browsing,2,1,88,59,47,52,True
public_0182,browsing,3,1,61,17,9,47,True
public_0182,browsing,4,1,42,4,12,57,True
public_0183,intent_override,0,50,937,56,130,39,True
public_0183,intent_override,1,33,514,71,361,55,True
public_0183,intent_override,2,17,380,84,229,57,True
public_0183,intent_override,3,2,126,174,170,47,True
public_0183,intent_override,4,1,66,253,241,37,True
public_0184,browsing,0,522,1098,64,376,57,True
public_0184,browsing,1,24,38,67,248,58,True
public_0184,browsing,2,0,7,104,235,53,True
public_0184,browsing,3,0,4,186,237,55,True
public_0184,browsing,4,0,3,176,237,52,True
public_0185,buying,0,28,818,18,138,24,True
public_0185,buying,1,14,324,16,118,25,True
public_0185,buying,2,1,171,16,147,41,True
public_0185,buying,3,1,72,17,341,40,True
public_0185,buying,4,1,27,20,558,40,True
public_0186,intent_override,0,522,1644,113,43,39,True
public_0186,intent_override,1,142,439,165,14,47,True
public_0186,intent_override,2,109,312,232,11,56,True
public_0186,intent_override,3,1,86,4,104,35,True
public_0186,intent_override,4,1,30,3,2,29,True
public_0187,boundary,0,665,4490,114,221,65,True
public_0187,boundary,1,410,1578,143,179,64,True
public_0187,boundary,2,224,1273,141,96,61,True
public_0187,boundary,3,30,1251,163,99,65,True
public_0187,boundary,4,1,494,255,151,70,True
public_0188,buying,0,271,805,201,97,49,True
public_0188,buying,1,147,458,242,127,54,True
public_0188,buying,2,1,275,223,144,61,True
public_0188,buying,3,1,93,228,116,62,True
public_0188,buying,4,1,48,259,167,51,True
public_0189,buying,0,48,1577,92,603,29,True
public_0189,buying,1,31,688,122,539,35,True
public_0189,buying,2,0,129,160,203,40,True
public_0189,buying,3,0,93,170,333,35,True
public_0189,buying,4,0,30,164,267,48,True
public_0190,buying,0,31,181,43,28,59,True
public_0190,buying,1,14,78,45,22,41,True
public_0190,buying,2,1,28,48,27,35,True
public_0190,buying,3,1,14,53,27,35,True
public_0190,buying,4,1,8,69,21,43,True
public_0191,browsing,0,10,10931,203,91,23,True
public_0191,browsing,1,0,465,256,24,23,True
public_0191,browsing,2,0,135,182,84,17,True
public_0191,browsing,3,0,56,244,136,42,True
public_0191,browsing,4,0,44,144,87,44,True
public_0192,boundary,0,132,807,62,195,49,True
public_0192,boundary,1,1,13,70,747,21,True
public_0192,boundary,2,0,2,70,507,25,True
public_0192,boundary,3,0,2,72,641,26,True
public_0192,boundary,4,0,1,73,798,26,True
public_0193,buying,0,127,1340,52,45,53,True
public_0193,buying,1,38,327,56,50,50,True
public_0193,buying,2,0,105,62,18,47,True
public_0193,buying,3,0,7,60,50,44,True
public_0193,buying,4,0,4,69,133,44,True
public_0194,buying,0,680,3567,314,510,25,True
public_0194,buying,1,93,290,341,339,55,True
public_0194,buying,2,15,146,348,530,45,True
public_0194,buying,3,10,103,514,461,42,True
public_0194,buying,4,6,46,505,365,46,True
public_0195,browsing,0,681,2400,285,199,48,True
public_0195,browsing,1,57,171,302,327,48,True
public_0195,browsing,2,18,102,310,339,47,True
public_0195,browsing,3,9,58,361,309,45,True
public_0195,browsing,4,1,58,361,261,42,True
public_0196,browsing,0,627,13937,137,253,46,True
public_0196,browsing,1,248,6666,171,943,29,True
public_0196,browsing,2,1,1726,232,1507,28,True
public_0196,browsing,3,1,145,78,587,48,True
public_0196,browsing,4,1,40,28,599,49,True
public_0197,intent_override,0,23,535,10,12,43,True
public_0197,intent_override,1,1,324,6,2,40,True
public_0197,intent_override,2,1,315,5,2,40,True
public_0197,intent_override,3,1,285,2,2,44,True
public_0197,intent_override,4,1,280,1,3,46,True
public_0198,intent_override,0,271,805,201,97,49,True
public_0198,intent_override,1,147,458,242,127,54,True
public_0198,intent_override,2,0,89,245,122,48,True
public_0198,intent_override,3,0,26,230,229,54,True
public_0198,intent_override,4,0,7,240,276,47,True
public_0199,buying,0,60,498,92,179,65,True
public_0199,buying,1,42,254,113,180,64,True
public_0199,buying,2,26,117,95,168,63,True
public_0199,buying,3,22,99,102,154,60,True
public_0199,buying,4,1,33,101,232,47,True
public_0200,buying,0,9919,28679,736,377,48,True
public_0200,buying,1,76,592,200,229,28,True
public_0200,buying,2,1,99,433,519,38,True
public_0200,buying,3,1,42,322,534,13,True
public_0200,buying,4,1,27,65,577,12,True
