split,baseline_hard_failures,hard_failure_rescues,rescued_sample_ids,regressions,regressed_sample_ids
full,10,0,[],41,"[""public_0007"", ""public_0012"", ""public_0015"", ""public_0016"", ""public_0021"", ""public_0025"", ""public_0035"", ""public_0039"", ""public_0040"", ""public_0043"", ""public_0050"", ""public_0056"", ""public_0057"", ""public_0060"", ""public_0062"", ""public_0074"", ""public_0081"", ""public_0092"", ""public_0099"", ""public_0100"", ""public_0110"", ""public_0112"", ""public_0120"", ""public_0126"", ""public_0137"", ""public_0138"", ""public_0140"", ""public_0147"", ""public_0153"", ""public_0167"", ""public_0169"", ""public_0172"", ""public_0175"", ""public_0176"", ""public_0180"", ""public_0181"", ""public_0184"", ""public_0187"", ""public_0192"", ""public_0195"", ""public_0196""]"
calibration,5,0,[],20,"[""public_0021"", ""public_0025"", ""public_0035"", ""public_0039"", ""public_0040"", ""public_0060"", ""public_0074"", ""public_0081"", ""public_0092"", ""public_0099"", ""public_0120"", ""public_0126"", ""public_0147"", ""public_0153"", ""public_0169"", ""public_0176"", ""public_0181"", ""public_0184"", ""public_0187"", ""public_0196""]"
evaluation,5,0,[],21,"[""public_0007"", ""public_0012"", ""public_0015"", ""public_0016"", ""public_0043"", ""public_0050"", ""public_0056"", ""public_0057"", ""public_0062"", ""public_0100"", ""public_0110"", ""public_0112"", ""public_0137"", ""public_0138"", ""public_0140"", ""public_0167"", ""public_0172"", ""public_0175"", ""public_0180"", ""public_0192"", ""public_0195""]"
