fixture_id,memory_id,memory_text,label,component,coefficient,projected_energy,projected_energy_share
u2_override_s9_final,memory_e48712816bd9bcac6e74f4d785b385a30fb778360b06c36296612036f283462c,style: classic,SAME_CATEGORY_HARD_NEGATIVE,10,0.05809331757120523,0.003374833546428902,0.048381193657317474
u2_override_s9_final,memory_5604f48f7cbc7eef9bfab5bbb86771b86737603e740600eb877870812bd67b1e,closure: double zippers,CROSS_DOMAIN_DISTRACTOR,1,-0.1863890968378349,0.034740895420023794,0.37620140421664516
u2_override_s9_final,memory_5604f48f7cbc7eef9bfab5bbb86771b86737603e740600eb877870812bd67b1e,closure: double zippers,CROSS_DOMAIN_DISTRACTOR,5,-0.1142457891691983,0.013052100342892906,0.14133828209110402
u2_override_s9_final,memory_5604f48f7cbc7eef9bfab5bbb86771b86737603e740600eb877870812bd67b1e,closure: double zippers,CROSS_DOMAIN_DISTRACTOR,3,-0.10309251633739756,0.010628066924776584,0.11508896511933064
u2_override_s9_final,memory_5604f48f7cbc7eef9bfab5bbb86771b86737603e740600eb877870812bd67b1e,closure: double zippers,CROSS_DOMAIN_DISTRACTOR,11,0.0785562080023601,0.006171077815710065,0.06682522461589228
u2_override_s9_final,memory_5604f48f7cbc7eef9bfab5bbb86771b86737603e740600eb877870812bd67b1e,closure: double zippers,CROSS_DOMAIN_DISTRACTOR,4,0.07104532426979975,0.005047438100600997,0.0546575808765205
u2_override_s9_final,memory_128cec5118039f800554a96aa6db7cedba6ffb9c4da09b1ce795bb30f6bcbe55,color: black,SAME_CATEGORY_HARD_NEGATIVE,1,-0.19768074899859633,0.039077678524646046,0.38707862205796434
u2_override_s9_final,memory_128cec5118039f800554a96aa6db7cedba6ffb9c4da09b1ce795bb30f6bcbe55,color: black,SAME_CATEGORY_HARD_NEGATIVE,5,-0.1785413925290814,0.03187702884622353,0.3157535674314969
u2_override_s9_final,memory_128cec5118039f800554a96aa6db7cedba6ffb9c4da09b1ce795bb30f6bcbe55,color: black,SAME_CATEGORY_HARD_NEGATIVE,3,-0.09748934912299412,0.009504173192425034,0.09414229304342862
u2_override_s9_final,memory_128cec5118039f800554a96aa6db7cedba6ffb9c4da09b1ce795bb30f6bcbe55,color: black,SAME_CATEGORY_HARD_NEGATIVE,8,0.09426745525622214,0.008886353120483843,0.08802256047088286
u2_override_s9_final,memory_128cec5118039f800554a96aa6db7cedba6ffb9c4da09b1ce795bb30f6bcbe55,color: black,SAME_CATEGORY_HARD_NEGATIVE,7,-0.07316747548954992,0.005353479469513889,0.053028161715596885
u3_distractor_s9_final,memory_b09c3cec58a94c2a3c9806fef48fd2193851d85ad59c75925850ed69f3f7df30,style: flannel,SAME_CATEGORY_HARD_NEGATIVE,1,-0.1892773349167986,0.035825909513205946,0.3167617351946394
u3_distractor_s9_final,memory_b09c3cec58a94c2a3c9806fef48fd2193851d85ad59c75925850ed69f3f7df30,style: flannel,SAME_CATEGORY_HARD_NEGATIVE,15,-0.16006623018562355,0.025621198045837023,0.2265347973307763
u3_distractor_s9_final,memory_b09c3cec58a94c2a3c9806fef48fd2193851d85ad59c75925850ed69f3f7df30,style: flannel,SAME_CATEGORY_HARD_NEGATIVE,7,-0.1451847750038471,0.02107861889291771,0.18637070172819817
u3_distractor_s9_final,memory_b09c3cec58a94c2a3c9806fef48fd2193851d85ad59c75925850ed69f3f7df30,style: flannel,SAME_CATEGORY_HARD_NEGATIVE,6,0.11159714797295699,0.012453923435698058,0.11011378220610828
u3_distractor_s9_final,memory_b09c3cec58a94c2a3c9806fef48fd2193851d85ad59c75925850ed69f3f7df30,style: flannel,SAME_CATEGORY_HARD_NEGATIVE,16,-0.0830529721498598,0.006897796182925387,0.06098820428039654
u3_distractor_s9_final,memory_568314a9bdc9198abf7f81f36709b569a00155c27514a8d5cdb475adadcbc6af,feature: secure pockets,SAME_CATEGORY_HARD_NEGATIVE,5,-0.12496828702116408,0.015617072761004047,0.28002186717615385
